,Unnamed: 0,Course,Job,Company,Location,Link
1,1,UX/UI Designer,Junior UX-Designer,CheckProof,"Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2558821584/?eBP=JOB_SEARCH_ORGANIC&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=mEra8knXmLDFVhSVYJhgrA%3D%3D&trk=flagship3_search_srp_jobs
2,2,UX/UI Designer,Product Designer UX/UI,Most Studios,"Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2574870311/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=PRsi09dQ9Y%2B9a59UcaNPHg%3D%3D&trk=flagship3_search_srp_jobs
3,3,UX/UI Designer,UX/UI Designer,Hive Streaming,"Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2567322370/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=hzZ35I7ts2A1XhVo9VhPDQ%3D%3D&trk=flagship3_search_srp_jobs
4,4,UX/UI Designer,UX Designer,G-Loot,"Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2558831614/?eBP=JOB_SEARCH_ORGANIC&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=B0BnE2M6%2FsIkHnOPGKlsTA%3D%3D&trk=flagship3_search_srp_jobs
5,0,UX/UI Designer,"Visual Designer, Advertising",Amazon,"Munique, Alemanha",https://www.linkedin.com/jobs/view/2431522272/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=0GvXXTYbVfpatrT%2BE2i2jQ%3D%3D&trk=flagship3_search_srp_jobs
6,1,UX/UI Designer,"UX Writer, Google Shopping",Google,"Munique, Alemanha",https://www.linkedin.com/jobs/view/2479912372/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=VbN2d8uhKcfo1EkePE1G6Q%3D%3D&trk=flagship3_search_srp_jobs
7,2,UX/UI Designer,UX/UI Design*,Capco,"Berlim, Alemanha",https://www.linkedin.com/jobs/view/2516784564/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=B3FjWwax9bn3ccFC9Wbwrg%3D%3D&trk=flagship3_search_srp_jobs
8,3,UX/UI Designer,UX/UI Design Lead,James Chase,"Dusseldorf, Alemanha",https://www.linkedin.com/jobs/view/2525963774/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=XGVb5DJtz2JzZTM7YCe71A%3D%3D&trk=flagship3_search_srp_jobs
9,4,UX/UI Designer,Junior Product Designer (m/f/x),HelloFresh,"Berlim, Alemanha",https://www.linkedin.com/jobs/view/2575577162/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=4Hhint%2BnIzZakIKP5BLyVg%3D%3D&trk=flagship3_search_srp_jobs
10,0,UX/UI Designer,Product Designer - Content Platform,Spotify,"Londres, Inglaterra",https://www.linkedin.com/jobs/view/2543299736/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=FQcPNMDG%2FmkN1y1hmBWoEw%3D%3D&trk=flagship3_search_srp_jobs
11,1,UX/UI Designer,Product Designer - WhatsApp,WhatsApp,"Londres, Inglaterra",https://www.linkedin.com/jobs/view/2570267100/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=aWmvW3Hw%2B%2FE8r7qZM1EERg%3D%3D&trk=flagship3_search_srp_jobs
12,2,UX/UI Designer,UX & UI Designer,Barclays UK,"Londres, Inglaterra",https://www.linkedin.com/jobs/view/2547333354/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=NxXt2xUniICMcyDBTyirlQ%3D%3D&trk=flagship3_search_srp_jobs
13,3,UX/UI Designer,Graduate UX/UI Content Designer 2021,Capgemini,"Birmingham, Inglaterra",https://www.linkedin.com/jobs/view/2538117602/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=bLh%2B%2BcARo3oFTdyUN2NC2g%3D%3D&trk=flagship3_search_srp_jobs
14,4,UX/UI Designer,"UX Designer, Google Health",Google,"Londres, Inglaterra",https://www.linkedin.com/jobs/view/2482895700/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=WlaAJb9AWa1aPQIDBuMn%2FA%3D%3D&trk=flagship3_search_srp_jobs
15,0,UX/UI Designer,UX Designer,Amazon,"São Paulo, Brasil",https://www.linkedin.com/jobs/view/2541747407/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=GCjYlkG2TwzSwh1%2BQfkk9g%3D%3D&trackingId=rrQw7OCgPcpJwvxcPmiHjA%3D%3D&trk=flagship3_search_srp_jobs
16,1,UX/UI Designer,UX/UI Designer,Accenture Brasil,"São Paulo, Brasil",https://www.linkedin.com/jobs/view/2444403534/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=GCjYlkG2TwzSwh1%2BQfkk9g%3D%3D&trackingId=pinODtZAKaSz8nXRtwrGqw%3D%3D&trk=flagship3_search_srp_jobs
17,0,UX/UI Designer,Gucci Visual Designer,Gucci,"Milão, Itália",https://www.linkedin.com/jobs/view/2566917138/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=NW%2B6bZLfLyzft5iZqtMRWA%3D%3D&trackingId=FJM0fQYd%2BI02FrCxcK1KlQ%3D%3D&trk=flagship3_search_srp_jobs
18,1,UX/UI Designer,Junior UI Designer,Giorgio Armani,"Milão, Itália",https://www.linkedin.com/jobs/view/2557910064/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=NW%2B6bZLfLyzft5iZqtMRWA%3D%3D&trackingId=iAmEoAk9Z24GffSGZHBqeQ%3D%3D&trk=flagship3_search_srp_jobs
19,2,UX/UI Designer,JUNIOR UX/UI DESIGNER,IGT,"Roma, Itália",https://www.linkedin.com/jobs/view/2535435140/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=NW%2B6bZLfLyzft5iZqtMRWA%3D%3D&trackingId=nBOmeCSdEI8IdpU64ezPaA%3D%3D&trk=flagship3_search_srp_jobs
20,3,UX/UI Designer,UX/UI Designer,Cortilia,"Milão, Itália",https://www.linkedin.com/jobs/view/2570823546/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=NW%2B6bZLfLyzft5iZqtMRWA%3D%3D&trackingId=jVuGvhIMjfak8t84KjjKMA%3D%3D&trk=flagship3_search_srp_jobs
21,0,UX/UI Designer,UX Designer – Amazon Business,Amazon,"Madrid, Espanha",https://www.linkedin.com/jobs/view/2497778721/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=yTLkvhAkj0Gx0GxMZdEFlQ%3D%3D&trackingId=q6LwnVSVzF3qI0efJeGjiA%3D%3D&trk=flagship3_search_srp_jobs
22,1,UX/UI Designer,UX/UI Designer - Gestión Proyectos,Movetia,"Barcelona, Espanha",https://www.linkedin.com/jobs/view/2581161949/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=yTLkvhAkj0Gx0GxMZdEFlQ%3D%3D&trackingId=ztoNvGblZN7Xsx5wE054JQ%3D%3D&trk=flagship3_search_srp_jobs
23,2,UX/UI Designer,UX/UI Designer,Garaje de Ideas,"Madrid, Espanha",https://www.linkedin.com/jobs/view/2567858621/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=yTLkvhAkj0Gx0GxMZdEFlQ%3D%3D&trackingId=DwZiHAbV3D7UNZgBJz%2FrFg%3D%3D&trk=flagship3_search_srp_jobs
24,0,UX/UI Designer,UX UI/Product Designer (Remote),"Loka, Inc.","Lisboa, Portugal",https://www.linkedin.com/jobs/view/2570699562/?eBP=CwEAAAF50UzxyfvQ5IqK5ZxDklJT7ax1czd3DL8ouOOiCEYwf_QSWVHh27i5ok0sOkmZAfMJB1clY6ZfVIW9iN7JDEnHhWbgdTgmNXKRiEGE-ZcHkomUlwb9SZzq7TutDreiYrWtVL2xPnsAr7pKaq03x91FgdeiOnxv5BC4TsOkLlgQFhVDmc-QNReNrLnCsxuRPLbOWQ3qadhcElV88C9Pvnr7WSQ2xSP40PwlQWXuLYBaFJheWy5gGAEBhNgPI-vrNzyaFEXFwYyRRufCX_7WPH-Jz9RaZWCUoBe5eh-e0kWmY_XqW2uph50ROrifOx09P_8rXnyWHQLzr_ljho3H4e4cjd7PWfGJrSKJscY7-dRr5ts&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=e9I6wgoBhNLYTlVEqenYRw%3D%3D&trackingId=9eq7NeH54yn%2FFb1DUwrXgQ%3D%3D&trk=flagship3_search_srp_jobs
