Job,Company,Location,Link
UX Designer – Amazon Business,Amazon,"Madri, Comunidade de Madrid, Espanha",https://www.linkedin.com/jobs/view/2497778721/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=yTLkvhAkj0Gx0GxMZdEFlQ%3D%3D&trackingId=q6LwnVSVzF3qI0efJeGjiA%3D%3D&trk=flagship3_search_srp_jobs
UX/UI Designer - Gestión Proyectos,Movetia,"Madri, Comunidade de Madrid, Espanha",https://www.linkedin.com/jobs/view/2581161949/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=yTLkvhAkj0Gx0GxMZdEFlQ%3D%3D&trackingId=ztoNvGblZN7Xsx5wE054JQ%3D%3D&trk=flagship3_search_srp_jobs
UX/UI Designer,Garaje de Ideas,"Madri, Comunidade de Madrid, Espanha",https://www.linkedin.com/jobs/view/2567858621/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=yTLkvhAkj0Gx0GxMZdEFlQ%3D%3D&trackingId=DwZiHAbV3D7UNZgBJz%2FrFg%3D%3D&trk=flagship3_search_srp_jobs
