Job,Company,Location,Link
"Visual Designer, Advertising",Amazon,"Munique, Baviera, Alemanha",https://www.linkedin.com/jobs/view/2431522272/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=0GvXXTYbVfpatrT%2BE2i2jQ%3D%3D&trk=flagship3_search_srp_jobs
"UX Writer, Google Shopping",Google,"Munique, Baviera, Alemanha",https://www.linkedin.com/jobs/view/2479912372/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=VbN2d8uhKcfo1EkePE1G6Q%3D%3D&trk=flagship3_search_srp_jobs
UX/UI Design*,Capco,"Munique, Baviera, Alemanha",https://www.linkedin.com/jobs/view/2516784564/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=B3FjWwax9bn3ccFC9Wbwrg%3D%3D&trk=flagship3_search_srp_jobs
UX/UI Design Lead,James Chase,"Munique, Baviera, Alemanha",https://www.linkedin.com/jobs/view/2525963774/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=XGVb5DJtz2JzZTM7YCe71A%3D%3D&trk=flagship3_search_srp_jobs
Junior Product Designer (m/f/x),HelloFresh,"Munique, Baviera, Alemanha",https://www.linkedin.com/jobs/view/2575577162/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=4Hhint%2BnIzZakIKP5BLyVg%3D%3D&trk=flagship3_search_srp_jobs
