Job,Company,Location,Link
"UX Interaction Designer, Video",Google,"Stockholm City, Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2560772690/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=x%2B0E2RXW8K2eHMU56%2F8qDg%3D%3D&trk=flagship3_search_srp_jobs
Junior UX-Designer,CheckProof,"Stockholm City, Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2558821584/?eBP=JOB_SEARCH_ORGANIC&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=mEra8knXmLDFVhSVYJhgrA%3D%3D&trk=flagship3_search_srp_jobs
Product Designer UX/UI,Most Studios,"Stockholm City, Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2574870311/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=PRsi09dQ9Y%2B9a59UcaNPHg%3D%3D&trk=flagship3_search_srp_jobs
UX/UI Designer,Hive Streaming,"Stockholm City, Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2567322370/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=hzZ35I7ts2A1XhVo9VhPDQ%3D%3D&trk=flagship3_search_srp_jobs
UX Designer,G-Loot,"Stockholm City, Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2558831614/?eBP=JOB_SEARCH_ORGANIC&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=B0BnE2M6%2FsIkHnOPGKlsTA%3D%3D&trk=flagship3_search_srp_jobs
