Job,Company,Location,Link
UX Designer,Amazon,"São Paulo, São Paulo, Brasil",https://www.linkedin.com/jobs/view/2541747407/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=GCjYlkG2TwzSwh1%2BQfkk9g%3D%3D&trackingId=rrQw7OCgPcpJwvxcPmiHjA%3D%3D&trk=flagship3_search_srp_jobs
UX/UI Designer,Accenture Brasil,"São Paulo, São Paulo, Brasil",https://www.linkedin.com/jobs/view/2444403534/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=GCjYlkG2TwzSwh1%2BQfkk9g%3D%3D&trackingId=pinODtZAKaSz8nXRtwrGqw%3D%3D&trk=flagship3_search_srp_jobs
