Job,Company,Location,Link
Finance Coordinator - Data and Analytics,Unilever,"São Paulo, São Paulo, Brasil",https://www.linkedin.com/jobs/view/2572061714/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=8oJyyem2dvjXnoYWsT70WA%3D%3D&trackingId=T97uw0opdH9s6BcdfPtB7Q%3D%3D&trk=flagship3_search_srp_jobs
Data Scientist,Microsoft,"São Paulo, São Paulo, Brasil",https://www.linkedin.com/jobs/view/2535404355/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=8oJyyem2dvjXnoYWsT70WA%3D%3D&trackingId=fbhGCEMKd3kz6XoHjM%2BUvQ%3D%3D&trk=flagship3_search_srp_jobs
Data Analytics | Full Remote,Dextra,"São Paulo, São Paulo, Brasil",https://www.linkedin.com/jobs/view/2522705652/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=8oJyyem2dvjXnoYWsT70WA%3D%3D&trackingId=NdGhuMMXK1y09aSevQjSGA%3D%3D&trk=flagship3_search_srp_jobs
Financial Analyst,Amazon,"São Paulo, São Paulo, Brasil",https://www.linkedin.com/jobs/view/2523742393/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=8oJyyem2dvjXnoYWsT70WA%3D%3D&trackingId=Hb8UFIaftAnQr%2FvK8qHSQg%3D%3D&trk=flagship3_search_srp_jobs
Data Analytics,XP Inc.,"São Paulo, São Paulo, Brasil",https://www.linkedin.com/jobs/view/2552667908/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=8oJyyem2dvjXnoYWsT70WA%3D%3D&trackingId=IGx0xaVZopcm47b4RXtC7Q%3D%3D&trk=flagship3_search_srp_jobs
