Job,Company,Location,Link
Data Analytics Consultant,Ytech,"Lisboa, Lisboa, Portugal",https://www.linkedin.com/jobs/view/2552620190/?eBP=CwEAAAF5zWaCBI9w_orrCBOT4PQ7rmB2XNW3iNb-zdUmcp57iuqolxIQmdi-VUnWDTUDGQgRxQQQUNbMXS8RGUCRmUhDtGXw2l2EMyuc87DwgedRyB85I5RtzsfegsXZDjSXXmramUecM2_lbDkkTtG38grVFEJwKo_Txx-Sf-4pQryUV8Exfq-3dNKUSItfhWqecaxnmaooHh6KHlpLi2JCme38ebzPavZCN8zgDqTQkQC7iKTLfABUMzK4M4JM_qETxNcBYC2IJGydoJdja5zNtG6C7sVBjaXb1zDW52CRRkcSPFt1kQgWgA56Tbr_FmCXsPE7ymV-dTg4P_0fk1x-fqt2hyXupLrAA8tguGafbMpmnYigkiBLA-XArrRF&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ugHTAShsrrZWFW3DfClnuw%3D%3D&trackingId=CejjObuzH996DJqm4mevFQ%3D%3D&trk=flagship3_search_srp_jobs
Data Analytics - Python Developer (m/f) - Lisboa,BOLD by Devoteam,"Lisboa, Lisboa, Portugal",https://www.linkedin.com/jobs/view/2547701342/?eBP=CwEAAAF5zWaCBPuJNHcEnnS7hB5uYw35gorVNRqu29jB1U4tDPdOqdB073EuXMPHBjbpbErIx_o5j4F_PTyx1zFeDMrPRszO778ZXaTmv7d5CKG7kbHGCyoW3d0O-Sv4XVIDZnjDmBNX3QoZJSdnBKPLWEcM8yXeCfwlt2hMH5hXPArIbGQXSzkFNjEyskIJMEn3PRF1e4Y0wf9bvznqrkCS1HX6mx5nY79s57iAkU_6Hrvf1u1cSa1d8sOJc_eLo1CmfyK7lM4CUBR4AnanHtMFfwZW4w5j17H8Z0FsjzjW2e1QwdgKqXhBuEANoxaHtDDhDYGtKE9FgZoWzXshVw7ad4hBnsnt5NYUPrGYPhkQRqCginDYr80B4R19SliO&recommendedFlavor=COMPANY_RECRUIT&refId=ugHTAShsrrZWFW3DfClnuw%3D%3D&trackingId=AuafBHUDOAbPbh8ghTQAUg%3D%3D&trk=flagship3_search_srp_jobs
Senior Data Analytics Architect (M/F),adidas,"Lisboa, Lisboa, Portugal",https://www.linkedin.com/jobs/view/2467276236/?eBP=CwEAAAF5zWaCBM3tCx5S2RF51VM69esKJvaTQXGc8d52us9HBoBdT62aCqDyL0I8XNB6YnSJMPR_s1nAytl8ESMbsehWYAJYXX83TS_Z5KA8s5lLvVCmrwWpW8n4AFhh3cXqoGwvZfqU_1eN8SD-EMhgk8xSbloKCsA0LP1uWXViwR8G_V9j-YeMGsMV5nLW1qVHICTwNlQ5gBMcT1z5YbyYqqYG3ETU7HL4TQ6HQeadky0PFNXpqNZhF_MgRcv1faQfAgSQk_7avWxKwEbu7S37RcjTcgMyHsrRHmVN1a9sE3zMSBOmpDJBnC03K6Jg8i6rhMmyARyLHFqoYCuLkH3WnK0LuPiAl7Si5EGV5bJzPIC1xNfWhlmSAuInopfg&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=ugHTAShsrrZWFW3DfClnuw%3D%3D&trackingId=pqv%2B1JaVYVVsmjy59y3zNw%3D%3D&trk=flagship3_search_srp_jobs
Data Analytics,EDP,"Lisboa, Lisboa, Portugal",https://www.linkedin.com/jobs/view/2577668656/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=ugHTAShsrrZWFW3DfClnuw%3D%3D&trackingId=bmJSQV%2Bxv8cEF7RkplMalw%3D%3D&trk=flagship3_search_srp_jobs
Data Analytics Senior Consultant,,,https://www.linkedin.com/jobs/view/2552623043/?eBP=CwEAAAF5zWaCBCRuMb0nKaHAMF7FW0E7qtOaZgqRcN7pKbIQWlfoEa10EuRaX7TQb7JSf8p_ybG7IeSBuRTY5Huj6f9cHVpq2efjn9d5k0VwmShTEZCEvi_El-gp_5SMIP36D1C5xXscoBVZ9_1F_VuQp1BqaDBpNSXk_DXNJqBqo23k-jjTfyyvTN5-_MOPbRUgNtHOdqvWObfnslmnCTfnMoGbnuc72sJWoSrC83jTX5w0DWgWiCxbJ_X2F-dPfgI9adS4ys1CWZ8XfnNwBmnJDDUpWgZTruj_yuOOsFfWMzyYxY1PdjlRbECj82Z42nKgXWQlmsHJX4J8NbO7mO59keeYiEuy6Tiey9M-T36SKjXmN3QD66wzG4DCbHYA&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=ugHTAShsrrZWFW3DfClnuw%3D%3D&trackingId=P%2B5tRylRByl3OCyCl1q7Yw%3D%3D&trk=flagship3_search_srp_jobs
