Job,Company,Location,Link
"Data & Analytics Consultant, Tableau",Salesforce,"Frankfurt, Hesse, Alemanha",https://www.linkedin.com/jobs/view/2559929192/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=yvO35d1EWsMp1mYnFq8mgQ%3D%3D&trackingId=uxOyhitGid0CVXddmwGxyw%3D%3D&trk=flagship3_search_srp_jobs
"Business Intelligence Analyst, Finance",Google,"Frankfurt, Hesse, Alemanha",https://www.linkedin.com/jobs/view/2543888850/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=yvO35d1EWsMp1mYnFq8mgQ%3D%3D&trackingId=OqfN2OtqKbYu0tiqIFHTFQ%3D%3D&trk=flagship3_search_srp_jobs
Data Analyst (m/f/d),Danone,"Frankfurt, Hesse, Alemanha",https://www.linkedin.com/jobs/view/2492641813/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=yvO35d1EWsMp1mYnFq8mgQ%3D%3D&trackingId=KjjHQ4%2BmYqDIpl4Krhtbmw%3D%3D&trk=flagship3_search_srp_jobs
