Job,Company,Location,Link
Junior Data Analyst,Amazon,"Barcelona, Catalunha, Espanha",https://www.linkedin.com/jobs/view/2454051840/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=0c%2FAuzRDnUlxSRaIJaESrw%3D%3D&trackingId=6AD%2BLh9jy%2BfW%2BGdlTUlTXw%3D%3D&trk=flagship3_search_srp_jobs
Data & Analytics Lead,Cognizant,"Barcelona, Catalunha, Espanha",https://www.linkedin.com/jobs/view/2577473005/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=0c%2FAuzRDnUlxSRaIJaESrw%3D%3D&trackingId=thB3pOdJfLRbpHIP2HV5Gg%3D%3D&trk=flagship3_search_srp_jobs
Data Scientist,PepsiCo,"Barcelona, Catalunha, Espanha",https://www.linkedin.com/jobs/view/2573811832/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0c%2FAuzRDnUlxSRaIJaESrw%3D%3D&trackingId=lBQYOsT5j4%2B4VRnn9SR3qQ%3D%3D&trk=flagship3_search_srp_jobs
"Customer Engineer, Data Analytics, Google Cloud",Google,"Barcelona, Catalunha, Espanha",https://www.linkedin.com/jobs/view/2537817614/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=0c%2FAuzRDnUlxSRaIJaESrw%3D%3D&trackingId=tnQOBI4wokKT3hpDdZXpeQ%3D%3D&trk=flagship3_search_srp_jobs
Data Analytics Trainee,Zurich Insurance Company Ltd,"Barcelona, Catalunha, Espanha",https://www.linkedin.com/jobs/view/2573872233/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0c%2FAuzRDnUlxSRaIJaESrw%3D%3D&trackingId=LNJStT7ffDpavJ9kYVkNQw%3D%3D&trk=flagship3_search_srp_jobs
