Job,Company,Location,Link
Data Analyst,IKEA,"Malmo, Skane, Suécia",https://www.linkedin.com/jobs/view/2576902120/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=ClyilR6NPz4YpvFshNDHCQ%3D%3D&trackingId=6jbAHJKATRCbYoE%2F%2FUxdYQ%3D%3D&trk=flagship3_search_srp_jobs
Data Scientist,Volvo Group,"Malmo, Skane, Suécia",https://www.linkedin.com/jobs/view/2573853820/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=ClyilR6NPz4YpvFshNDHCQ%3D%3D&trackingId=4yKHaBBeYHrsJzHFxYo%2FiQ%3D%3D&trk=flagship3_search_srp_jobs
Business Intelligence Analyst - Personalization,Spotify,"Malmo, Skane, Suécia",https://www.linkedin.com/jobs/view/2500120866/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=ClyilR6NPz4YpvFshNDHCQ%3D%3D&trackingId=ZoDAp16%2F%2F0n9cs3mBeoWyA%3D%3D&trk=flagship3_search_srp_jobs
Analytics Analyst,Electrolux,"Malmo, Skane, Suécia",https://www.linkedin.com/jobs/view/2567390482/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=ClyilR6NPz4YpvFshNDHCQ%3D%3D&trackingId=ETJIe3t%2BSyqcxvHhO2pIxg%3D%3D&trk=flagship3_search_srp_jobs
