Job,Company,Location,Link
Data & Analytics Consultant,EY,"Bari, Apúlia, Itália",https://www.linkedin.com/jobs/view/2557902702/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=AVJJch%2BfimGGJeTZbtr4zw%3D%3D&trackingId=nfM8%2FDjrnT0%2FuCd%2FzrVGmQ%3D%3D&trk=flagship3_search_srp_jobs
Business Intelligence Analyst,Prada Group,"Bari, Apúlia, Itália",https://www.linkedin.com/jobs/view/2556899944/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=AVJJch%2BfimGGJeTZbtr4zw%3D%3D&trackingId=bPwkfdzrpM786qsqudIIvw%3D%3D&trk=flagship3_search_srp_jobs
Junior Data Analytics Consultant,SDG Group Italy,"Bari, Apúlia, Itália",https://www.linkedin.com/jobs/view/2558980584/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=AVJJch%2BfimGGJeTZbtr4zw%3D%3D&trackingId=HrLHn92rIpOPGgPnGRGkRw%3D%3D&trk=flagship3_search_srp_jobs
BI and Data Analytics Consultant,KPMG Italy,"Bari, Apúlia, Itália",https://www.linkedin.com/jobs/view/2564966451/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=AVJJch%2BfimGGJeTZbtr4zw%3D%3D&trackingId=hkVshQIsSJAlhG1hc0h%2BaA%3D%3D&trk=flagship3_search_srp_jobs
Data Scientist,Moncler,"Bari, Apúlia, Itália",https://www.linkedin.com/jobs/view/2543724776/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=AVJJch%2BfimGGJeTZbtr4zw%3D%3D&trackingId=AjpaxOOX9SC00nFJ%2B52LDg%3D%3D&trk=flagship3_search_srp_jobs
