,Course,Job,Company,Location,Link
1,UX/UI Designer,UX/UI Designer,Accenture Brasil,"São Paulo, Brasil",https://www.linkedin.com/jobs/view/2444403534/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=GCjYlkG2TwzSwh1%2BQfkk9g%3D%3D&trackingId=pinODtZAKaSz8nXRtwrGqw%3D%3D&trk=flagship3_search_srp_jobs
0,UX/UI Designer,Gucci Visual Designer,Gucci,"Milão, Itália",https://www.linkedin.com/jobs/view/2566917138/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=NW%2B6bZLfLyzft5iZqtMRWA%3D%3D&trackingId=FJM0fQYd%2BI02FrCxcK1KlQ%3D%3D&trk=flagship3_search_srp_jobs
1,UX/UI Designer,Junior UI Designer,Giorgio Armani,"Milão, Itália",https://www.linkedin.com/jobs/view/2557910064/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=NW%2B6bZLfLyzft5iZqtMRWA%3D%3D&trackingId=iAmEoAk9Z24GffSGZHBqeQ%3D%3D&trk=flagship3_search_srp_jobs
2,UX/UI Designer,JUNIOR UX/UI DESIGNER,IGT,"Roma, Itália",https://www.linkedin.com/jobs/view/2535435140/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=NW%2B6bZLfLyzft5iZqtMRWA%3D%3D&trackingId=nBOmeCSdEI8IdpU64ezPaA%3D%3D&trk=flagship3_search_srp_jobs
3,UX/UI Designer,UX/UI Designer,Cortilia,"Milão, Itália",https://www.linkedin.com/jobs/view/2570823546/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=NW%2B6bZLfLyzft5iZqtMRWA%3D%3D&trackingId=jVuGvhIMjfak8t84KjjKMA%3D%3D&trk=flagship3_search_srp_jobs
0,UX/UI Designer,UX Designer – Amazon Business,Amazon,"Madrid, Espanha",https://www.linkedin.com/jobs/view/2497778721/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=yTLkvhAkj0Gx0GxMZdEFlQ%3D%3D&trackingId=q6LwnVSVzF3qI0efJeGjiA%3D%3D&trk=flagship3_search_srp_jobs
1,UX/UI Designer,UX/UI Designer - Gestión Proyectos,Movetia,"Barcelona, Espanha",https://www.linkedin.com/jobs/view/2581161949/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=yTLkvhAkj0Gx0GxMZdEFlQ%3D%3D&trackingId=ztoNvGblZN7Xsx5wE054JQ%3D%3D&trk=flagship3_search_srp_jobs
2,UX/UI Designer,UX/UI Designer,Garaje de Ideas,"Madrid, Espanha",https://www.linkedin.com/jobs/view/2567858621/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=yTLkvhAkj0Gx0GxMZdEFlQ%3D%3D&trackingId=DwZiHAbV3D7UNZgBJz%2FrFg%3D%3D&trk=flagship3_search_srp_jobs
0,UX/UI Designer,UX UI/Product Designer (Remote),"Loka, Inc.","Lisboa, Portugal",https://www.linkedin.com/jobs/view/2570699562/?eBP=CwEAAAF50UzxyfvQ5IqK5ZxDklJT7ax1czd3DL8ouOOiCEYwf_QSWVHh27i5ok0sOkmZAfMJB1clY6ZfVIW9iN7JDEnHhWbgdTgmNXKRiEGE-ZcHkomUlwb9SZzq7TutDreiYrWtVL2xPnsAr7pKaq03x91FgdeiOnxv5BC4TsOkLlgQFhVDmc-QNReNrLnCsxuRPLbOWQ3qadhcElV88C9Pvnr7WSQ2xSP40PwlQWXuLYBaFJheWy5gGAEBhNgPI-vrNzyaFEXFwYyRRufCX_7WPH-Jz9RaZWCUoBe5eh-e0kWmY_XqW2uph50ROrifOx09P_8rXnyWHQLzr_ljho3H4e4cjd7PWfGJrSKJscY7-dRr5ts&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=e9I6wgoBhNLYTlVEqenYRw%3D%3D&trackingId=9eq7NeH54yn%2FFb1DUwrXgQ%3D%3D&trk=flagship3_search_srp_jobs
1,UX/UI Designer,UX/UI Designer,BOLD by Devoteam,"Lisboa, Portugal",https://www.linkedin.com/jobs/view/1747541134/?eBP=CwEAAAF50UzxyXQhnozYeahEmqJw6A7nUZdUWNHk61GgFXwBBU_-RFrYJjvw-m0r5WH1f18CjByfmbr93ufEqcn3pfG6Ep7GXXBBXOY5RwzkM0W3IVYVvnBzpWzf17TcJ88QSlI7qjzGOCczQWOZpMCLSOi0M3Tp1QxKnNZNz7r4q2thSCiKW8WO99MwU3ahzx14sw1ov3ZaRyl47U7f0hIwZyC7DxukLauf69pMgvp1Blu8ouxI1Vl11KJNQecl_o-drDDE3IzthKuE8Ja32SckhUZYvDP2QxzY6ZVVwgDfuEF4AD1ouFwzWGYuVhgqSAlKHmadtKCHNfKv_P_7x6IpSU5jQDMZwMG6a_xBMBf1NyYL9TtG4pAvLr7X__8X&recommendedFlavor=COMPANY_RECRUIT&refId=e9I6wgoBhNLYTlVEqenYRw%3D%3D&trackingId=EDQIzFfGuSoE57WyGjF5mg%3D%3D&trk=flagship3_search_srp_jobs
