Job,Company,Location,Link
Product Designer - Content Platform,Spotify,"Londres, Inglaterra, Reino Unido",https://www.linkedin.com/jobs/view/2543299736/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=FQcPNMDG%2FmkN1y1hmBWoEw%3D%3D&trk=flagship3_search_srp_jobs
Product Designer - WhatsApp,WhatsApp,"Londres, Inglaterra, Reino Unido",https://www.linkedin.com/jobs/view/2570267100/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=aWmvW3Hw%2B%2FE8r7qZM1EERg%3D%3D&trk=flagship3_search_srp_jobs
UX & UI Designer,Barclays UK,"Londres, Inglaterra, Reino Unido",https://www.linkedin.com/jobs/view/2547333354/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=NxXt2xUniICMcyDBTyirlQ%3D%3D&trk=flagship3_search_srp_jobs
Graduate UX/UI Content Designer 2021,Capgemini,"Londres, Inglaterra, Reino Unido",https://www.linkedin.com/jobs/view/2538117602/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=bLh%2B%2BcARo3oFTdyUN2NC2g%3D%3D&trk=flagship3_search_srp_jobs
"UX Designer, Google Health",Google,"Londres, Inglaterra, Reino Unido",https://www.linkedin.com/jobs/view/2482895700/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=w%2BeQyMkAqFK0JwbRc4aLBw%3D%3D&trackingId=WlaAJb9AWa1aPQIDBuMn%2FA%3D%3D&trk=flagship3_search_srp_jobs
